file_id,file_path,detection_id,detection_start_s,detection_end_s,presence_label,species_name,detection_probability,recorder_id,date_time,processed_at,segment_idx,embedding_file,audio_file,utm_x,utm_y,station_name,Elevation,habitat_type,location_situation,path,basename,filename_stem,start_s,end_s,class,species_display,FinalLabelEffective,species_name_original,presence_label_original,validation_state,validation_label,validation_species,validated_by,validated_at,validation_method,user_changed,user_changed_by,user_changed_at,validation_state_effective
CCMNP-S-R5_20250427_085202,/Users/alastairpickering/Desktop/gibbon/present_1/present/CCMNP-S-R5_20250427_085202.wav,CCMNP-S-R5_20250427_085202:20.000-30.000,20,30.0,present,1,0.813100636,CCMNP-S-R5,20250427_085202,2025-08-17T19:21:40,2,,/Users/alastairpickering/gdrive_mount/pileated_gibbon_production/audio/CCMNP-S-R5_20250427_085202.wav,,,,,,,/Users/alastairpickering/Desktop/gibbon/present_1/present/CCMNP-S-R5_20250427_085202.wav,CCMNP-S-R5_20250427_085202,ccmnp-s-r5_20250427_085202,20,30.0,1,1,present,1,present,,,,,,,0,,,
CCMNP-S-R5_20250427_085702,/Users/alastairpickering/Desktop/gibbon/present_1/present/CCMNP-S-R5_20250427_085702.wav,CCMNP-S-R5_20250427_085702:50.000-58.000,50,58.0,present,1,0.655991375,CCMNP-S-R5,20250427_085702,2025-08-17T19:21:44,5,,/Users/alastairpickering/gdrive_mount/pileated_gibbon_production/audio/CCMNP-S-R5_20250427_085702.wav,,,,,,,/Users/alastairpickering/Desktop/gibbon/present_1/present/CCMNP-S-R5_20250427_085702.wav,CCMNP-S-R5_20250427_085702,ccmnp-s-r5_20250427_085702,50,58.0,1,1,present,1,present,,,,,,,0,,,
CCMNP-S-R5_20250427_090002,/Users/alastairpickering/Desktop/gibbon/present_1/present/CCMNP-S-R5_20250427_090002.wav,CCMNP-S-R5_20250427_090002:50.000-58.000,50,58.0,present,1,0.766081095,CCMNP-S-R5,20250427_090002,2025-08-17T19:21:46,5,,/Users/alastairpickering/gdrive_mount/pileated_gibbon_production/audio/CCMNP-S-R5_20250427_090002.wav,,,,,,,/Users/alastairpickering/Desktop/gibbon/present_1/present/CCMNP-S-R5_20250427_090002.wav,CCMNP-S-R5_20250427_090002,ccmnp-s-r5_20250427_090002,50,58.0,1,1,present,1,present,,,,,,,0,,,
CCMNP-S-R5_20250427_090102,/Users/alastairpickering/Desktop/gibbon/present_1/present/CCMNP-S-R5_20250427_090102.wav,CCMNP-S-R5_20250427_090102:0.000-10.000,0,10.0,present,1,0.74888432,CCMNP-S-R5,20250427_090102,2025-08-17T19:21:46,0,,/Users/alastairpickering/gdrive_mount/pileated_gibbon_production/audio/CCMNP-S-R5_20250427_090102.wav,,,,,,,/Users/alastairpickering/Desktop/gibbon/present_1/present/CCMNP-S-R5_20250427_090102.wav,CCMNP-S-R5_20250427_090102,ccmnp-s-r5_20250427_090102,0,10.0,1,1,present,1,present,,,,,,,0,,,
CCMNP-S-R5_20250427_090202,/Users/alastairpickering/Desktop/gibbon/present_1/present/CCMNP-S-R5_20250427_090202.wav,CCMNP-S-R5_20250427_090202:20.000-30.000,20,30.0,present,1,0.986217499,CCMNP-S-R5,20250427_090202,2025-08-17T19:21:49,2,,/Users/alastairpickering/gdrive_mount/pileated_gibbon_production/audio/CCMNP-S-R5_20250427_090202.wav,,,,,,,/Users/alastairpickering/Desktop/gibbon/present_1/present/CCMNP-S-R5_20250427_090202.wav,CCMNP-S-R5_20250427_090202,ccmnp-s-r5_20250427_090202,20,30.0,1,1,present,1,present,,,,,,,0,,,
CCMNP-S-R5_20250427_090302,/Users/alastairpickering/Desktop/gibbon/present_1/present/CCMNP-S-R5_20250427_090302.wav,CCMNP-S-R5_20250427_090302:50.000-58.000,50,58.0,present,1,0.950343072,CCMNP-S-R5,20250427_090302,2025-08-17T19:21:50,5,,/Users/alastairpickering/gdrive_mount/pileated_gibbon_production/audio/CCMNP-S-R5_20250427_090302.wav,,,,,,,/Users/alastairpickering/Desktop/gibbon/present_1/present/CCMNP-S-R5_20250427_090302.wav,CCMNP-S-R5_20250427_090302,ccmnp-s-r5_20250427_090302,50,58.0,1,1,present,1,present,,,,,,,0,,,
CCMNP-S-R5_20250427_090402,/Users/alastairpickering/Desktop/gibbon/present_1/present/CCMNP-S-R5_20250427_090402.wav,CCMNP-S-R5_20250427_090402:0.000-10.000,0,10.0,present,1,0.928033888,CCMNP-S-R5,20250427_090402,2025-08-17T19:22:13,0,,/Users/alastairpickering/gdrive_mount/pileated_gibbon_production/audio/CCMNP-S-R5_20250427_090402.wav,,,,,,,/Users/alastairpickering/Desktop/gibbon/present_1/present/CCMNP-S-R5_20250427_090402.wav,CCMNP-S-R5_20250427_090402,ccmnp-s-r5_20250427_090402,0,10.0,1,1,present,1,present,,,,,,,0,,,
CCMNP-S-R5_20250427_090502,/Users/alastairpickering/Desktop/gibbon/present_1/present/CCMNP-S-R5_20250427_090502.wav,CCMNP-S-R5_20250427_090502:40.000-50.000,40,50.0,present,1,0.68857944,CCMNP-S-R5,20250427_090502,2025-08-17T19:22:15,4,,/Users/alastairpickering/gdrive_mount/pileated_gibbon_production/audio/CCMNP-S-R5_20250427_090502.wav,,,,,,,/Users/alastairpickering/Desktop/gibbon/present_1/present/CCMNP-S-R5_20250427_090502.wav,CCMNP-S-R5_20250427_090502,ccmnp-s-r5_20250427_090502,40,50.0,1,1,present,1,present,,,,,,,0,,,
CCMNP-S-R5_20250427_090802,/Users/alastairpickering/Desktop/gibbon/present_1/present/CCMNP-S-R5_20250427_090802.wav,CCMNP-S-R5_20250427_090802:20.000-30.000,20,30.0,present,1,0.856343925,CCMNP-S-R5,20250427_090802,2025-08-17T19:22:54,2,,/Users/alastairpickering/gdrive_mount/pileated_gibbon_production/audio/CCMNP-S-R5_20250427_090802.wav,,,,,,,/Users/alastairpickering/Desktop/gibbon/present_1/present/CCMNP-S-R5_20250427_090802.wav,CCMNP-S-R5_20250427_090802,ccmnp-s-r5_20250427_090802,20,30.0,1,1,present,1,present,,,,,,,0,,,
CCMNP-S-R5_20250427_090802,/Users/alastairpickering/Desktop/gibbon/present_1/present/CCMNP-S-R5_20250427_090802.wav,CCMNP-S-R5_20250427_090802:30.000-40.000,30,40.0,present,1,0.986616611,CCMNP-S-R5,20250427_090802,2025-08-17T19:22:54,3,,/Users/alastairpickering/gdrive_mount/pileated_gibbon_production/audio/CCMNP-S-R5_20250427_090802.wav,,,,,,,/Users/alastairpickering/Desktop/gibbon/present_1/present/CCMNP-S-R5_20250427_090802.wav,CCMNP-S-R5_20250427_090802,ccmnp-s-r5_20250427_090802,30,40.0,1,1,present,1,present,,,,,,,0,,,
CCMNP-S-R5_20250427_090802,/Users/alastairpickering/Desktop/gibbon/present_1/present/CCMNP-S-R5_20250427_090802.wav,CCMNP-S-R5_20250427_090802:40.000-50.000,40,50.0,present,1,0.774219811,CCMNP-S-R5,20250427_090802,2025-08-17T19:22:54,4,,/Users/alastairpickering/gdrive_mount/pileated_gibbon_production/audio/CCMNP-S-R5_20250427_090802.wav,,,,,,,/Users/alastairpickering/Desktop/gibbon/present_1/present/CCMNP-S-R5_20250427_090802.wav,CCMNP-S-R5_20250427_090802,ccmnp-s-r5_20250427_090802,40,50.0,1,1,present,1,present,,,,,,,0,,,
CCMNP-S-R5_20250427_090902,/Users/alastairpickering/Desktop/gibbon/present_1/present/CCMNP-S-R5_20250427_090902.wav,CCMNP-S-R5_20250427_090902:0.000-10.000,0,10.0,present,1,0.936669648,CCMNP-S-R5,20250427_090902,2025-08-17T19:22:54,0,,/Users/alastairpickering/gdrive_mount/pileated_gibbon_production/audio/CCMNP-S-R5_20250427_090902.wav,,,,,,,/Users/alastairpickering/Desktop/gibbon/present_1/present/CCMNP-S-R5_20250427_090902.wav,CCMNP-S-R5_20250427_090902,ccmnp-s-r5_20250427_090902,0,10.0,1,1,present,1,present,,,,,,,0,,,
CCMNP-S-R5_20250427_090902,/Users/alastairpickering/Desktop/gibbon/present_1/present/CCMNP-S-R5_20250427_090902.wav,CCMNP-S-R5_20250427_090902:50.000-58.000,50,58.0,present,1,0.734887302,CCMNP-S-R5,20250427_090902,2025-08-17T19:22:54,5,,/Users/alastairpickering/gdrive_mount/pileated_gibbon_production/audio/CCMNP-S-R5_20250427_090902.wav,,,,,,,/Users/alastairpickering/Desktop/gibbon/present_1/present/CCMNP-S-R5_20250427_090902.wav,CCMNP-S-R5_20250427_090902,ccmnp-s-r5_20250427_090902,50,58.0,1,1,present,1,present,,,,,,,0,,,
CCMNP-S-R5_20250427_092902,/Users/alastairpickering/Desktop/gibbon/present_1/present/CCMNP-S-R5_20250427_092902.wav,CCMNP-S-R5_20250427_092902:50.000-58.000,50,58.0,present,1,0.744616807,CCMNP-S-R5,20250427_092902,2025-08-17T19:23:52,5,,/Users/alastairpickering/gdrive_mount/pileated_gibbon_production/audio/CCMNP-S-R5_20250427_092902.wav,,,,,,,/Users/alastairpickering/Desktop/gibbon/present_1/present/CCMNP-S-R5_20250427_092902.wav,CCMNP-S-R5_20250427_092902,ccmnp-s-r5_20250427_092902,50,58.0,1,1,present,1,present,,,,,,,0,,,
CCMNP-S-R5_20250427_093002,/Users/alastairpickering/Desktop/gibbon/present_1/present/CCMNP-S-R5_20250427_093002.wav,CCMNP-S-R5_20250427_093002:50.000-58.000,50,58.0,present,1,0.757640779,CCMNP-S-R5,20250427_093002,2025-08-17T19:24:50,5,,/Users/alastairpickering/gdrive_mount/pileated_gibbon_production/audio/CCMNP-S-R5_20250427_093002.wav,,,,,,,/Users/alastairpickering/Desktop/gibbon/present_1/present/CCMNP-S-R5_20250427_093002.wav,CCMNP-S-R5_20250427_093002,ccmnp-s-r5_20250427_093002,50,58.0,1,1,present,1,present,,,,,,,0,,,
CCMNP-S-R5_20250427_094702,/Users/alastairpickering/Desktop/gibbon/present_1/present/CCMNP-S-R5_20250427_094702.wav,CCMNP-S-R5_20250427_094702:20.000-30.000,20,30.0,present,1,0.838374555,CCMNP-S-R5,20250427_094702,2025-08-17T19:29:05,2,,/Users/alastairpickering/gdrive_mount/pileated_gibbon_production/audio/CCMNP-S-R5_20250427_094702.wav,,,,,,,/Users/alastairpickering/Desktop/gibbon/present_1/present/CCMNP-S-R5_20250427_094702.wav,CCMNP-S-R5_20250427_094702,ccmnp-s-r5_20250427_094702,20,30.0,1,1,present,1,present,,,,,,,0,,,
CCMNP-S-R5_20250427_094702,/Users/alastairpickering/Desktop/gibbon/present_1/present/CCMNP-S-R5_20250427_094702.wav,CCMNP-S-R5_20250427_094702:30.000-40.000,30,40.0,present,1,0.990711272,CCMNP-S-R5,20250427_094702,2025-08-17T19:29:05,3,,/Users/alastairpickering/gdrive_mount/pileated_gibbon_production/audio/CCMNP-S-R5_20250427_094702.wav,,,,,,,/Users/alastairpickering/Desktop/gibbon/present_1/present/CCMNP-S-R5_20250427_094702.wav,CCMNP-S-R5_20250427_094702,ccmnp-s-r5_20250427_094702,30,40.0,1,1,present,1,present,,,,,,,0,,,
CCMNP-S-R5_20250427_094702,/Users/alastairpickering/Desktop/gibbon/present_1/present/CCMNP-S-R5_20250427_094702.wav,CCMNP-S-R5_20250427_094702:40.000-50.000,40,50.0,present,1,0.839898348,CCMNP-S-R5,20250427_094702,2025-08-17T19:29:05,4,,/Users/alastairpickering/gdrive_mount/pileated_gibbon_production/audio/CCMNP-S-R5_20250427_094702.wav,,,,,,,/Users/alastairpickering/Desktop/gibbon/present_1/present/CCMNP-S-R5_20250427_094702.wav,CCMNP-S-R5_20250427_094702,ccmnp-s-r5_20250427_094702,40,50.0,1,1,present,1,present,,,,,,,0,,,
