file_id,file_path,detection_id,detection_start_s,detection_end_s,presence_label,species_name,detection_probability,recorder_id,date_time,Unnamed: 0,_source_csv
20240201_073700T.WAV,/Users/alastairpickering/Desktop/birdnet/audio/20240201_073700T.WAV,20240201_073700T.WAV:0.000-3.000,0.0,3.0,present,Cyanistes caeruleus,0.8610275387763977,,,64,/Users/alastairpickering/Desktop/birdnet/predictions/birdnet_raw_detections_index_final.csv
20240201_073700T.WAV,/Users/alastairpickering/Desktop/birdnet/audio/20240201_073700T.WAV,20240201_073700T.WAV:6.000-9.000,6.0,9.0,present,Cyanistes caeruleus,0.9115062952041626,,,67,/Users/alastairpickering/Desktop/birdnet/predictions/birdnet_raw_detections_index_final.csv
20240201_073700T.WAV,/Users/alastairpickering/Desktop/birdnet/audio/20240201_073700T.WAV,20240201_073700T.WAV:9.000-12.000,9.0,12.0,present,Cyanistes caeruleus,0.764018177986145,,,68,/Users/alastairpickering/Desktop/birdnet/predictions/birdnet_raw_detections_index_final.csv
20240201_073700T.WAV,/Users/alastairpickering/Desktop/birdnet/audio/20240201_073700T.WAV,20240201_073700T.WAV:12.000-15.000,12.0,15.0,present,Cyanistes caeruleus,0.9312798976898192,,,69,/Users/alastairpickering/Desktop/birdnet/predictions/birdnet_raw_detections_index_final.csv
20240201_073700T.WAV,/Users/alastairpickering/Desktop/birdnet/audio/20240201_073700T.WAV,20240201_073700T.WAV:24.000-27.000,24.0,27.0,present,Cyanistes caeruleus,0.8369354009628296,,,71,/Users/alastairpickering/Desktop/birdnet/predictions/birdnet_raw_detections_index_final.csv
20240201_073700T.WAV,/Users/alastairpickering/Desktop/birdnet/audio/20240201_073700T.WAV,20240201_073700T.WAV:30.000-33.000,30.0,33.0,present,Cyanistes caeruleus,0.975943386554718,,,73,/Users/alastairpickering/Desktop/birdnet/predictions/birdnet_raw_detections_index_final.csv
20240201_073700T.WAV,/Users/alastairpickering/Desktop/birdnet/audio/20240201_073700T.WAV,20240201_073700T.WAV:42.000-45.000,42.0,45.0,present,Cyanistes caeruleus,0.8586216568946838,,,77,/Users/alastairpickering/Desktop/birdnet/predictions/birdnet_raw_detections_index_final.csv
20240201_073800T.WAV,/Users/alastairpickering/Desktop/birdnet/audio/20240201_073800T.WAV,20240201_073800T.WAV:9.000-12.000,9.0,12.0,present,Cyanistes caeruleus,0.8845573663711548,,,81,/Users/alastairpickering/Desktop/birdnet/predictions/birdnet_raw_detections_index_final.csv
20240201_073800T.WAV,/Users/alastairpickering/Desktop/birdnet/audio/20240201_073800T.WAV,20240201_073800T.WAV:15.000-18.000,15.0,18.0,present,Cyanistes caeruleus,0.8380720019340515,,,83,/Users/alastairpickering/Desktop/birdnet/predictions/birdnet_raw_detections_index_final.csv
20240201_073800T.WAV,/Users/alastairpickering/Desktop/birdnet/audio/20240201_073800T.WAV,20240201_073800T.WAV:18.000-21.000,18.0,21.0,present,Cyanistes caeruleus,0.9482219815254213,,,84,/Users/alastairpickering/Desktop/birdnet/predictions/birdnet_raw_detections_index_final.csv
20240201_073800T.WAV,/Users/alastairpickering/Desktop/birdnet/audio/20240201_073800T.WAV,20240201_073800T.WAV:27.000-30.000,27.0,30.0,present,Cyanistes caeruleus,0.8520610928535461,,,89,/Users/alastairpickering/Desktop/birdnet/predictions/birdnet_raw_detections_index_final.csv
20240201_073800T.WAV,/Users/alastairpickering/Desktop/birdnet/audio/20240201_073800T.WAV,20240201_073800T.WAV:45.000-48.000,45.0,48.0,present,Cyanistes caeruleus,0.7945817112922668,,,95,/Users/alastairpickering/Desktop/birdnet/predictions/birdnet_raw_detections_index_final.csv
20240201_073800T.WAV,/Users/alastairpickering/Desktop/birdnet/audio/20240201_073800T.WAV,20240201_073800T.WAV:48.000-51.000,48.0,51.0,present,Cyanistes caeruleus,0.923063099384308,,,96,/Users/alastairpickering/Desktop/birdnet/predictions/birdnet_raw_detections_index_final.csv
20240201_073800T.WAV,/Users/alastairpickering/Desktop/birdnet/audio/20240201_073800T.WAV,20240201_073800T.WAV:51.000-54.000,51.0,54.0,present,Cyanistes caeruleus,0.960465967655182,,,97,/Users/alastairpickering/Desktop/birdnet/predictions/birdnet_raw_detections_index_final.csv
20240201_074400T.WAV,/Users/alastairpickering/Desktop/birdnet/audio/20240201_074400T.WAV,20240201_074400T.WAV:3.000-6.000,3.0,6.0,present,Regulus regulus,0.8346847295761108,,,131,/Users/alastairpickering/Desktop/birdnet/predictions/birdnet_raw_detections_index_final.csv
20240201_074400T.WAV,/Users/alastairpickering/Desktop/birdnet/audio/20240201_074400T.WAV,20240201_074400T.WAV:6.000-9.000,6.0,9.0,present,Regulus regulus,0.7746767997741699,,,132,/Users/alastairpickering/Desktop/birdnet/predictions/birdnet_raw_detections_index_final.csv
20240201_074400T.WAV,/Users/alastairpickering/Desktop/birdnet/audio/20240201_074400T.WAV,20240201_074400T.WAV:24.000-27.000,24.0,27.0,present,Regulus regulus,0.8777627944946289,,,135,/Users/alastairpickering/Desktop/birdnet/predictions/birdnet_raw_detections_index_final.csv
20240201_074600T.WAV,/Users/alastairpickering/Desktop/birdnet/audio/20240201_074600T.WAV,20240201_074600T.WAV:33.000-36.000,33.0,36.0,present,Regulus regulus,0.7849180102348328,,,143,/Users/alastairpickering/Desktop/birdnet/predictions/birdnet_raw_detections_index_final.csv
20240201_074600T.WAV,/Users/alastairpickering/Desktop/birdnet/audio/20240201_074600T.WAV,20240201_074600T.WAV:51.000-54.000,51.0,54.0,present,Turdus iliacus,0.938355267047882,,,144,/Users/alastairpickering/Desktop/birdnet/predictions/birdnet_raw_detections_index_final.csv
20240201_074700T.WAV,/Users/alastairpickering/Desktop/birdnet/audio/20240201_074700T.WAV,20240201_074700T.WAV:12.000-15.000,12.0,15.0,present,Regulus regulus,0.7940859198570251,,,145,/Users/alastairpickering/Desktop/birdnet/predictions/birdnet_raw_detections_index_final.csv
20240201_074700T.WAV,/Users/alastairpickering/Desktop/birdnet/audio/20240201_074700T.WAV,20240201_074700T.WAV:27.000-30.000,27.0,30.0,present,Corvus monedula,0.8282241821289062,,,147,/Users/alastairpickering/Desktop/birdnet/predictions/birdnet_raw_detections_index_final.csv
20240201_074800T.WAV,/Users/alastairpickering/Desktop/birdnet/audio/20240201_074800T.WAV,20240201_074800T.WAV:0.000-3.000,0.0,3.0,present,Corvus monedula,0.8394875526428223,,,150,/Users/alastairpickering/Desktop/birdnet/predictions/birdnet_raw_detections_index_final.csv
20240201_075000T.WAV,/Users/alastairpickering/Desktop/birdnet/audio/20240201_075000T.WAV,20240201_075000T.WAV:9.000-12.000,9.0,12.0,present,Erithacus rubecula,0.871929407119751,,,158,/Users/alastairpickering/Desktop/birdnet/predictions/birdnet_raw_detections_index_final.csv
20240201_075000T.WAV,/Users/alastairpickering/Desktop/birdnet/audio/20240201_075000T.WAV,20240201_075000T.WAV:18.000-21.000,18.0,21.0,present,Erithacus rubecula,0.9372930526733398,,,159,/Users/alastairpickering/Desktop/birdnet/predictions/birdnet_raw_detections_index_final.csv
20240201_075000T.WAV,/Users/alastairpickering/Desktop/birdnet/audio/20240201_075000T.WAV,20240201_075000T.WAV:27.000-30.000,27.0,30.0,present,Erithacus rubecula,0.8153920769691467,,,160,/Users/alastairpickering/Desktop/birdnet/predictions/birdnet_raw_detections_index_final.csv
20240201_075400T.WAV,/Users/alastairpickering/Desktop/birdnet/audio/20240201_075400T.WAV,20240201_075400T.WAV:6.000-9.000,6.0,9.0,present,Carduelis carduelis,0.8744451403617859,,,184,/Users/alastairpickering/Desktop/birdnet/predictions/birdnet_raw_detections_index_final.csv
20240201_075400T.WAV,/Users/alastairpickering/Desktop/birdnet/audio/20240201_075400T.WAV,20240201_075400T.WAV:21.000-24.000,21.0,24.0,present,Passer domesticus,0.8221750259399414,,,187,/Users/alastairpickering/Desktop/birdnet/predictions/birdnet_raw_detections_index_final.csv
20240201_075400T.WAV,/Users/alastairpickering/Desktop/birdnet/audio/20240201_075400T.WAV,20240201_075400T.WAV:24.000-27.000,24.0,27.0,present,Passer domesticus,0.8508698344230652,,,188,/Users/alastairpickering/Desktop/birdnet/predictions/birdnet_raw_detections_index_final.csv
20240201_075400T.WAV,/Users/alastairpickering/Desktop/birdnet/audio/20240201_075400T.WAV,20240201_075400T.WAV:33.000-36.000,33.0,36.0,present,Passer domesticus,0.9263761043548584,,,190,/Users/alastairpickering/Desktop/birdnet/predictions/birdnet_raw_detections_index_final.csv
20240201_075400T.WAV,/Users/alastairpickering/Desktop/birdnet/audio/20240201_075400T.WAV,20240201_075400T.WAV:36.000-39.000,36.0,39.0,present,Passer domesticus,0.9395522475242616,,,191,/Users/alastairpickering/Desktop/birdnet/predictions/birdnet_raw_detections_index_final.csv
20240201_075400T.WAV,/Users/alastairpickering/Desktop/birdnet/audio/20240201_075400T.WAV,20240201_075400T.WAV:39.000-42.000,39.0,42.0,present,Passer domesticus,0.970220148563385,,,192,/Users/alastairpickering/Desktop/birdnet/predictions/birdnet_raw_detections_index_final.csv
20240201_075400T.WAV,/Users/alastairpickering/Desktop/birdnet/audio/20240201_075400T.WAV,20240201_075400T.WAV:45.000-48.000,45.0,48.0,present,Passer domesticus,0.8928658962249756,,,194,/Users/alastairpickering/Desktop/birdnet/predictions/birdnet_raw_detections_index_final.csv
20240201_075400T.WAV,/Users/alastairpickering/Desktop/birdnet/audio/20240201_075400T.WAV,20240201_075400T.WAV:48.000-51.000,48.0,51.0,present,Passer domesticus,0.8532931208610535,,,196,/Users/alastairpickering/Desktop/birdnet/predictions/birdnet_raw_detections_index_final.csv
20240201_075400T.WAV,/Users/alastairpickering/Desktop/birdnet/audio/20240201_075400T.WAV,20240201_075400T.WAV:51.000-54.000,51.0,54.0,present,Passer domesticus,0.9308608770370485,,,197,/Users/alastairpickering/Desktop/birdnet/predictions/birdnet_raw_detections_index_final.csv
20240201_075500T.WAV,/Users/alastairpickering/Desktop/birdnet/audio/20240201_075500T.WAV,20240201_075500T.WAV:0.000-3.000,0.0,3.0,present,Passer domesticus,0.9529327750205994,,,198,/Users/alastairpickering/Desktop/birdnet/predictions/birdnet_raw_detections_index_final.csv
20240201_075500T.WAV,/Users/alastairpickering/Desktop/birdnet/audio/20240201_075500T.WAV,20240201_075500T.WAV:3.000-6.000,3.0,6.0,present,Passer domesticus,0.7735180854797363,,,199,/Users/alastairpickering/Desktop/birdnet/predictions/birdnet_raw_detections_index_final.csv
20240201_075500T.WAV,/Users/alastairpickering/Desktop/birdnet/audio/20240201_075500T.WAV,20240201_075500T.WAV:9.000-12.000,9.0,12.0,present,Passer domesticus,0.7844365835189819,,,201,/Users/alastairpickering/Desktop/birdnet/predictions/birdnet_raw_detections_index_final.csv
20240201_075500T.WAV,/Users/alastairpickering/Desktop/birdnet/audio/20240201_075500T.WAV,20240201_075500T.WAV:18.000-21.000,18.0,21.0,present,Passer domesticus,0.8339079022407532,,,204,/Users/alastairpickering/Desktop/birdnet/predictions/birdnet_raw_detections_index_final.csv
20240201_075500T.WAV,/Users/alastairpickering/Desktop/birdnet/audio/20240201_075500T.WAV,20240201_075500T.WAV:30.000-33.000,30.0,33.0,present,Passer domesticus,0.8379656076431274,,,208,/Users/alastairpickering/Desktop/birdnet/predictions/birdnet_raw_detections_index_final.csv
